3630;2.323;4;1.885;3;3.153;22;3.087;8
5491;5.343;58;5.467;59;3.363;31;3.204;11
4672;4.315;32;4.100;20;4.423;46;4.849;59
2381;5.451;60;5.484;60;4.101;43;4.319;50
5138;4.930;47;5.148;49;3.496;34;3.975;35
42;3.455;16;3.669;15;2.973;16;3.766;33
2152;5.058;52;5.314;55;2.924;14;3.617;27
5017;496;1;548;1;213;1;2.223;1
180;4.383;35;4.782;38;3.251;25;3.577;20
1654;4.762;41;4.947;44;4.007;42;3.975;35
1863;3.543;17;3.855;17;3.469;33;2.708;5
1786;3.171;11;2.822;9;3.798;38;3.975;35
1283;3.766;21;4.041;18;3.067;21;3.975;35
3145;4.776;42;5.044;46;3.596;35;3.715;30
4161;4.272;30;4.757;37;2.864;13;3.577;20
2555;2.237;3;1.885;3;2.738;11;3.290;17
2116;5.475;61;5.528;61;3.034;20;4.319;50
1468;1.407;2;1.381;2;840;2;3.087;8
4945;3.232;14;3.650;14;2.446;6;3.087;8
2564;5.150;55;5.116;48;4.726;54;4.849;59
2423;5.359;59;5.331;56;5.401;62;4.319;50
1;2.688;6;2.748;8;2.290;3;3.341;18
3616;4.704;38;4.416;30;5.333;61;4.319;50
3091;3.217;13;2.384;6;5.027;57;3.729;32
1425;2.923;8;3.148;11;2.577;8;2.708;5
2035;3.543;17;4.070;19;2.988;18;2.491;2
2119;5.534;62;5.542;62;5.116;58;4.849;59
5108;3.286;15;3.669;15;2.924;14;2.708;5
116;4.882;45;4.965;45;4.597;52;3.975;35
3359;4.335;33;4.404;29;4.607;53;3.617;27
3287;2.718;7;2.426;7;2.722;9;3.975;35
1736;4.930;47;4.881;41;5.160;59;3.975;35
1807;3.543;9;3.998;9;2.081;4;4.101;8
4750;4.041;11;4.271;11;3.134;11;4.352;11
2142;417;1;367;1;139;1;2.829;1
1726;3.430;8;3.623;7;2.738;9;4.101;8
1667;4.131;12;4.736;14;2.577;8;3.108;4
2031;2.402;2;2.619;2;1.423;2;3.108;4
3519;4.992;14;4.628;13;5.397;14;5.028;14
245;3.142;6;2.870;3;3.186;12;4.352;11
4416;2.897;4;3.172;5;2.366;5;2.829;1
1169;4.549;13;4.382;12;4.439;13;5.028;14
2172;2.834;3;2.951;4;2.519;7;3.108;4
4166;3.709;10;4.100;10;2.484;6;4.101;8
3200;3.047;5;3.263;6;2.758;10;2.829;1
412;3.303;7;3.930;8;1.780;3;3.108;4
2044;5.391;15;5.323;15;5.517;15;4.352;11
2694;2.718;19;2.619;18;3.234;56;2.491;15
3441;3.156;34;3.569;45;2.217;25;3.290;55
3224;4.930;114;5.148;115;3.904;99;3.410;71
14;4.974;116;5.215;123;3.750;91;3.371;66
2137;5.343;136;5.443;137;3.251;57;4.319;124
2857;3.635;56;3.595;47;3.657;83;4.129;114
2706;2.594;14;3.058;29;1.539;9;1.889;6
3258;2.718;19;2.933;27;1.805;13;3.311;57
5030;5.412;139;5.491;141;3.496;72;3.124;41
4740;558;2;359;2;1.037;5;2.188;9
4400;4.974;116;5.015;105;4.935;140;3.863;99
981;5.128;124;5.169;116;4.794;136;4.129;114
5075;4.847;108;5.169;116;3.525;74;3.108;37
5551;4.491;92;4.670;82;4.672;134;2.792;24
2799;5.078;122;5.169;116;4.377;124;4.319;124
3172;3.497;48;3.340;37;4.398;125;3.259;54
2377;4.067;74;4.650;79;3.469;69;1.362;2
1424;1.651;3;1.793;6;1.680;10;1.416;4
3970;154;1;141;1;228;1;1.362;2
4369;3.946;68;3.998;59;4.016;110;3.908;101
2723;3.006;29;2.558;17;3.542;76;4.087;110
2234;3.980;70;4.331;71;2.702;39;4.395;129
690;5.078;122;5.169;116;4.031;111;4.610;138
5262;3.697;61;3.569;45;3.684;85;4.430;131
4682;4.362;86;4.757;91;3.220;55;3.691;84
4869;4.866;109;4.947;100;4.794;136;3.740;85
1972;4.272;83;4.719;84;2.864;45;3.908;101
1108;4.442;90;4.757;91;3.596;82;3.564;75
3914;3.497;48;3.786;53;3.452;66;2.792;24
781;5.377;138;5.416;133;5.222;142;3.359;62
572;3.709;62;3.950;57;3.709;88;3.108;37
568;3.635;56;3.669;48;4.191;117;3.108;37
2749;4.587;96;4.903;98;3.469;69;3.766;88
3643;2.051;7;2.003;7;2.275;27;2.306;12
186;4.532;94;4.650;79;3.955;106;4.308;121
3750;2.069;8;2.023;8;1.865;15;2.916;31
35;5.470;142;5.521;143;4.121;113;2.792;24
3818;2.668;18;2.061;9;3.955;106;3.174;48
4389;2.961;26;3.128;31;2.519;33;3.233;50
296;4.383;88;4.923;99;2.577;36;3.410;71
4167;3.980;70;4.719;84;1.488;8;3.564;75
3956;3.677;60;4.228;67;1.970;18;3.999;106
4771;5.212;130;5.331;128;3.251;57;4.553;136
2845;5.423;140;5.474;139;4.439;128;3.577;80
5144;3.455;43;2.916;25;4.813;138;3.785;91
4124;4.161;79;4.584;75;2.386;29;4.430;131
1184;4.828;107;5.202;122;2.446;31;3.999;106
2122;4.491;92;4.041;61;5.292;143;4.610;138
4747;5.337;134;5.443;137;3.913;100;3.233;50
4796;5.458;141;5.484;140;4.398;125;4.610;138
4951;5.158;127;5.341;129;2.813;42;4.181;116
3405;5.337;134;5.421;134;4.171;115;3.999;106
5126;3.410;41;3.340;37;3.198;54;4.308;121
2943;3.747;63;4.041;61;3.684;85;2.818;28
3625;3.653;58;4.070;65;3.390;62;2.491;15
3295;4.717;103;5.044;107;3.578;79;3.174;48
3744;4.666;100;4.965;102;3.955;106;3.124;41
3112;3.193;35;3.669;48;1.953;17;3.359;62
5244;4.866;109;5.066;110;3.913;100;3.908;101
907;5.071;121;5.361;131;2.886;47;2.276;10
788;3.020;31;3.527;43;1.934;16;2.610;19
1918;3.914;66;3.879;55;3.933;103;4.181;116
1746;4.144;77;4.490;73;3.933;103;2.916;31
547;2.780;21;2.769;22;2.940;48;2.969;34
4195;3.390;40;3.023;28;4.571;133;3.527;73
3810;2.481;11;2.384;14;1.970;18;3.740;85
2032;3.914;66;4.041;61;4.226;119;3.150;44
3312;3.482;44;3.463;41;3.780;94;3.577;80
3207;2.554;13;2.112;10;2.955;49;3.766;88
1755;4.272;83;4.867;96;2.519;33;3.311;57
3564;5.475;143;5.498;142;4.398;125;4.750;141
1161;3.217;36;3.172;32;3.762;92;2.818;28
4686;4.346;85;4.628;77;3.578;79;3.863;99
167;3.286;37;3.444;40;3.542;76;2.610;19
3106;4.067;74;4.584;75;3.153;53;2.792;24
553;5.212;130;5.289;125;4.171;115;4.342;127
5511;5.128;124;5.289;125;3.657;83;3.819;96
3283;3.107;33;2.678;20;3.452;66;4.308;121
1036;2.850;22;3.786;53;999;3;807;1
1559;5.257;132;5.341;129;4.007;109;4.395;129
5315;3.320;38;3.340;37;3.404;64;3.527;73
521;4.717;103;5.066;110;3.452;66;3.150;44
4434;2.656;17;2.446;15;2.554;35;3.797;93
4346;3.567;53;3.510;42;3.884;98;3.766;88
2063;3.980;70;4.628;77;2.094;23;3.564;75
3780;4.882;111;5.015;105;4.246;122;4.012;109
1250;4.241;81;4.271;68;4.557;132;3.740;85
3653;3.497;48;3.879;55;2.217;25;4.101;112
3433;1.802;5;2.172;12;748;2;2.276;10
2546;5.202;129;5.373;132;3.404;64;3.379;68
1319;3.482;44;3.083;30;4.031;111;4.430;131
5378;5.343;136;5.432;135;4.439;128;3.379;68
5151;4.587;96;5.080;112;2.702;39;2.969;34
3040;3.521;51;3.714;50;3.721;89;2.818;28
2497;4.649;99;4.965;102;3.721;89;3.311;57
2898;5.290;133;5.432;135;3.564;78;2.969;34
1465;5.050;120;5.189;121;4.151;114;3.908;101
5161;5.009;119;4.947;100;5.210;141;4.087;110
446;4.684;102;4.691;83;4.246;122;4.553;136
1744;2.897;23;3.527;43;1.710;11;1.889;6
1331;4.241;81;4.824;95;2.446;31;3.379;68
5413;2.625;15;2.810;23;1.805;13;3.290;55
2556;4.882;111;4.867;96;4.495;131;4.750;141
3807;2.516;12;2.255;13;3.293;60;2.406;14
2422;2.640;16;2.699;21;2.825;43;2.306;12
1978;2.990;28;2.467;16;3.817;97;3.908;101
5368;4.144;77;4.362;72;3.514;73;4.228;118
2692;1.651;3;1.219;3;2.406;30;2.916;31
2000;4.615;98;4.650;79;4.472;130;4.243;120
1772;3.653;58;4.271;68;2.331;28;3.233;50
465;3.006;29;3.200;33;2.010;20;3.797;93
4800;3.587;54;4.023;60;2.864;45;3.233;50
3160;2.116;9;1.737;4;2.722;41;3.150;44
4924;3.482;44;3.263;34;3.486;71;4.508;134
57;3.047;32;2.656;19;3.684;85;3.819;96
1507;3.482;44;3.765;52;3.578;79;2.491;15
4410;4.417;89;4.736;89;3.762;92;3.359;62
3990;3.606;55;4.041;61;2.988;50;3.108;37
3189;3.876;65;4.534;74;2.054;22;3.564;75
4891;2.961;26;2.916;25;2.649;38;3.797;93
1178;4.903;113;5.135;114;3.933;103;3.371;66
4812;4.469;91;4.719;84;4.226;119;3.150;44
5118;4.041;73;4.204;66;3.913;100;3.785;91
1421;5.180;128;5.289;125;3.390;62;4.750;141
1190;3.747;63;3.950;57;3.067;52;4.228;118
3707;4.362;86;4.719;84;3.798;95;3.124;41
1658;3.946;68;4.757;91;2.179;24;1.889;6
3749;4.941;115;5.241;124;3.274;59;3.311;57
1878;2.022;6;1.751;5;2.613;37;2.491;15
2918;3.430;42;4.271;68;1.444;7;2.610;19
4153;4.746;105;4.808;94;4.885;139;3.577;80
1897;3.528;52;3.310;35;4.226;119;3.819;96
5494;3.320;38;3.310;35;3.047;51;4.101;112
4876;4.974;116;5.044;107;4.191;117;4.508;134
896;4.666;100;4.996;104;3.525;74;3.359;62
3323;4.067;74;4.736;89;1.780;12;3.564;75
2610;2.116;9;2.132;11;2.037;21;2.610;19
2192;4.564;95;5.080;112;1.289;6;4.319;124
4759;4.182;80;4.719;84;2.842;44;3.311;57
294;2.944;25;2.889;24;3.349;61;2.610;19
5288;5.137;126;5.169;116;4.726;135;4.342;127
5218;4.803;106;5.044;107;3.798;95;3.638;83
4100;2.897;23;3.739;51;1.009;4;1.813;5
1793;2.192;3;2.405;3;1.614;4;2.443;4
3702;2.640;5;2.916;5;2.468;8;1.751;2
4858;5.158;14;5.229;14;4.454;15;4.202;12
3393;3.390;8;3.692;8;1.953;7;4.408;14
5191;5.512;16;5.549;16;4.031;14;3.371;10
2894;3.788;10;4.416;11;3.198;12;1.675;1
2385;4.717;13;5.029;13;3.004;10;4.218;13
1811;3.286;7;4.070;9;1.196;2;3.014;7
1868;453;1;419;1;413;1;1.927;3
5282;3.808;11;4.228;10;3.330;13;3.014;7
3794;2.688;6;3.187;6;1.196;2;2.658;5
3307;2.360;4;2.467;4;1.846;6;3.014;7
25;5.377;15;5.384;15;5.116;16;4.408;14
3647;2.037;2;2.087;2;1.680;5;2.658;5
5281;3.946;12;4.490;12;2.758;9;3.371;10
1681;3.497;9;3.490;7;3.153;11;4.408;14
4905;5.309;121;5.384;124;4.454;106;3.908;51
2602;4.241;77;4.382;78;3.390;59;4.708;104
1330;2.804;24;2.724;25;2.906;33;3.379;28
127;4.789;100;4.824;97;4.308;102;4.564;97
5298;1.256;3;1.202;3;620;5;3.196;16
324;4.241;77;4.404;79;3.780;81;4.202;72
3859;5.158;116;5.096;112;5.105;127;4.522;95
1712;2.923;26;2.639;23;3.274;49;3.766;42
893;3.788;53;3.930;56;3.542;69;3.908;51
4264;3.788;53;4.204;72;3.047;40;3.473;33
2890;3.567;42;3.855;54;2.343;17;4.395;79
256;1.572;5;1.596;6;913;6;3.064;10
4401;4.515;89;4.670;89;4.151;97;3.819;44
3877;4.131;73;4.041;63;3.780;81;4.819;107
1911;3.823;59;4.161;70;2.794;28;4.181;68
5321;3.466;38;3.739;51;2.577;20;4.070;59
633;4.205;74;4.180;71;3.349;54;5.117;123
4855;3.193;27;2.841;26;3.684;77;4.145;64
991;4.812;102;4.463;81;4.935;122;5.414;133
626;4.762;97;4.650;88;4.377;103;5.055;118
1004;4.469;85;4.996;106;2.667;23;3.174;13
1186;5.496;131;5.508;132;4.873;121;4.484;88
3105;3.587;44;3.905;55;3.234;46;3.204;19
149;3.521;40;3.510;45;3.657;74;3.863;46
4666;5.104;110;5.096;112;5.097;126;4.070;59
3773;4.205;74;4.610;85;3.220;45;3.617;37
1136;3.331;31;3.004;28;3.578;72;4.469;83
4799;4.704;95;4.331;77;4.709;115;5.444;135
3665;3.895;63;3.058;29;5.003;124;5.055;118
4716;5.552;139;5.562;139;3.390;59;4.657;101
4157;4.297;82;4.782;93;3.083;41;3.204;19
4787;5.118;113;5.249;120;3.762;80;4.181;68
4379;5.531;136;5.479;130;5.561;139;5.464;138
3122;2.897;25;2.889;27;2.813;29;3.473;33
1818;5.337;122;5.331;122;5.222;130;4.484;88
4367;5.104;110;5.202;117;4.571;109;3.874;48
1717;5.118;113;5.189;115;4.692;112;4.012;55
5439;2.160;12;2.310;17;1.369;10;3.064;10
463;3.410;35;3.310;33;3.404;62;4.181;68
2897;3.960;67;3.998;60;3.955;88;4.070;59
5000;4.615;92;4.719;91;3.251;47;5.099;121
2920;1.939;8;1.964;11;1.318;8;3.196;16
1030;3.858;60;4.070;65;3.817;85;3.290;26
4505;5.343;123;5.361;123;4.495;108;5.043;115
196;2.739;22;2.639;23;2.037;15;4.145;64
2488;3.430;36;3.310;33;3.265;48;4.395;79
5487;4.684;94;4.782;93;3.994;90;4.469;83
2576;3.808;57;4.204;72;3.274;49;3.196;16
871;5.443;129;5.384;124;5.333;133;5.444;135
1452;2.269;14;1.620;7;2.825;30;4.101;63
4177;2.615;18;2.536;21;2.842;31;2.760;5
3556;3.653;48;3.930;56;3.418;63;3.290;26
2312;3.946;64;4.307;76;2.774;26;4.290;76
3245;4.776;98;5.029;109;4.007;91;3.204;19
5520;3.980;68;4.130;69;2.906;33;4.860;112
5542;4.776;98;4.824;97;4.101;96;4.657;101
1193;2.179;13;1.870;10;1.710;12;4.145;64
4110;819;1;845;1;321;3;2.760;5
3048;5.513;133;5.545;136;4.377;103;3.863;46
5253;3.946;64;4.023;62;4.069;94;3.740;40
4248;4.866;103;4.824;97;4.207;98;5.099;121
5503;4.866;103;4.923;100;4.692;112;4.049;57
1489;3.277;29;3.490;43;3.378;58;2.566;1
3241;3.946;64;4.510;82;2.955;35;3.014;8
1942;5.475;130;5.498;131;4.672;111;4.484;88
3507;3.567;42;3.340;35;3.330;53;4.819;107
575;5.246;118;5.080;111;5.367;134;5.145;126
1846;2.449;17;2.172;15;2.864;32;3.204;19
2485;4.067;70;3.595;46;4.626;110;4.860;112
5335;4.041;69;4.100;67;3.564;70;4.484;88
106;4.515;89;3.998;60;4.776;118;5.433;134
4399;3.766;52;3.463;39;3.828;86;4.819;107
746;5.541;138;5.553;137;5.397;135;3.014;8
4609;5.421;128;5.467;129;4.069;94;4.290;76
370;1.422;4;1.839;9;245;2;2.566;1
1418;1.922;7;1.644;8;1.086;7;4.228;74
3756;4.117;71;4.204;72;3.363;57;4.708;104
2751;5.530;135;5.557;138;3.390;59;4.290;76
2299;5.500;132;5.508;132;4.692;112;4.819;107
5338;3.587;44;3.368;36;3.083;41;5.055;118
4430;3.497;39;3.669;49;2.973;36;4.049;57
1690;4.241;77;4.204;72;4.439;105;4.202;72
204;3.677;50;3.623;48;3.034;39;4.860;112
2829;2.688;20;2.558;22;2.758;25;3.449;32
304;3.619;47;3.669;49;3.780;81;3.638;38
5221;2.305;16;1.421;4;3.015;38;4.469;83
4060;5.158;116;5.189;115;4.975;123;4.012;55
3055;3.430;36;3.172;31;3.452;64;4.564;97
471;5.365;125;5.400;126;4.743;116;4.469;83
5444;2.269;14;2.467;19;1.318;8;3.174;13
1941;971;2;1.164;2;174;1;2.708;3
3449;4.731;96;5.015;108;3.469;65;3.874;48
1232;4.491;86;4.996;106;2.774;26;3.174;13
3772;2.116;10;2.073;13;1.741;13;3.204;19
4254;3.788;53;4.041;63;3.496;66;3.379;28
1236;3.358;33;3.463;39;3.293;52;3.638;38
4199;2.640;19;2.405;18;2.217;16;4.181;68
758;3.876;62;4.100;67;3.186;44;4.145;64
2336;4.666;93;4.923;100;4.207;98;3.064;10
4777;3.677;50;3.930;56;2.613;21;4.395;79
1433;4.587;91;4.610;85;4.246;100;4.469;83
5284;3.788;53;3.930;56;3.657;74;3.766;42
4023;2.762;23;2.045;12;3.721;78;4.070;59
3488;2.069;9;2.087;14;1.423;11;3.204;19
34;4.953;106;4.691;90;4.764;117;5.444;135
3472;3.193;27;3.463;39;2.738;24;3.204;19
1683;5.417;127;5.450;128;3.933;87;4.819;107
4295;5.540;137;5.528;135;5.432;136;5.342;132
4501;5.519;134;5.514;134;5.324;132;5.145;126
1288;5.018;109;4.808;95;5.042;125;5.162;129
4317;4.920;105;4.923;100;4.007;91;5.043;115
4914;4.442;84;4.628;87;3.657;74;4.228;74
3377;5.365;125;5.202;117;5.477;137;5.464;138
2941;4.254;80;4.416;80;4.059;93;3.874;48
812;4.789;100;4.965;104;3.578;72;4.498;92
1936;5.009;108;4.808;95;5.129;128;5.043;115
4128;4.491;86;4.568;84;3.955;88;4.498;92
2463;4.417;83;4.719;91;3.525;68;3.908;51
1060;3.543;41;3.595;46;3.564;70;3.740;40
802;5.246;118;4.965;104;5.512;138;5.117;123
4549;5.343;123;5.300;121;5.195;129;5.145;126
5252;4.254;80;3.417;37;5.292;131;5.162;129
4990;5.104;110;5.044;110;4.454;106;5.117;123
2714;5.257;120;5.421;127;3.134;43;3.379;28
1668;4.992;107;5.096;112;3.780;81;4.591;100
2362;3.653;48;3.829;53;3.274;49;3.908;51
475;3.606;46;3.463;39;3.349;54;4.708;104
1926;4.117;71;3.490;43;4.794;119;5.162;129
1944;3.808;57;4.070;65;3.514;67;3.379;28
1415;3.858;60;3.739;51;3.721;78;4.564;97
5296;4.491;86;4.552;83;4.813;120;3.489;35
3978;4.217;76;4.947;103;1.934;14;2.760;5
904;1.802;6;2.185;16;494;4;2.708;3
4946;3.286;30;3.263;32;2.446;18;4.657;101
2372;2.707;21;2.467;19;2.988;37;3.527;36
2964;5.128;115;5.202;117;4.291;101;4.395;79
1172;2.116;10;1.548;5;2.649;22;3.819;44
4492;3.331;31;3.058;29;3.349;54;4.522;95
4276;3.358;33;3.444;38;2.503;19;4.498;92
4113;3.358;20;3.527;48;1.885;3;4.778;84
3828;4.549;92;3.765;62;5.381;189;5.254;156
541;5.325;177;5.323;185;4.986;128;4.936;110
2717;4.666;105;4.782;134;4.272;56;4.101;17
1328;4.882;123;4.782;134;4.852;109;4.718;78
4148;4.684;107;4.670;125;4.207;53;4.718;78
3639;5.337;180;5.202;167;5.342;186;5.530;209
43;5.441;199;5.384;194;5.411;194;5.207;146
5285;4.009;53;4.100;82;3.496;17;4.352;30
2545;5.509;208;5.533;212;3.739;26;4.801;86
4995;4.442;84;4.180;90;4.495;73;5.081;130
2878;4.828;119;4.628;121;4.986;128;4.887;97
377;4.297;70;3.930;71;4.911;116;4.676;71
22;5.128;150;4.996;147;5.129;145;4.936;110
4870;5.457;202;5.443;201;4.898;113;5.381;179
4841;5.398;189;5.351;190;5.003;131;5.459;198
72;5.325;177;5.289;181;4.898;113;5.425;188
5261;3.587;31;2.859;27;4.272;56;5.109;132
4034;3.960;48;3.340;42;4.518;74;5.207;146
1589;2.944;12;1.924;9;3.434;16;5.184;139
3976;3.410;22;2.516;16;4.836;105;4.676;71
5139;4.649;103;4.204;92;5.027;134;5.267;160
4953;5.304;170;5.116;158;5.448;203;5.267;160
3938;3.320;17;3.222;37;3.596;20;3.691;7
3444;3.960;48;3.786;64;4.743;93;3.797;10
2475;4.383;77;4.130;86;4.813;100;4.657;64
2221;4.963;134;4.670;125;5.324;181;4.954;116
4649;5.398;189;5.331;188;5.419;196;5.035;126
2700;5.483;204;5.458;202;5.172;153;5.487;203
1804;5.104;147;5.080;155;4.836;105;4.591;52
1088;4.161;61;3.044;32;5.401;193;5.267;160
608;4.803;116;4.362;101;5.317;180;5.207;146
937;4.903;128;4.984;145;4.171;48;4.484;44
2919;5.137;153;4.923;143;4.935;119;5.476;199
3176;5.407;191;5.438;199;4.439;66;4.564;49
1761;5.212;160;5.135;159;5.210;159;4.750;82
5419;4.067;57;3.669;56;4.692;91;4.676;71
3574;5.423;193;5.416;197;4.398;64;5.476;199
77;5.104;147;5.029;152;4.672;89;5.035;126
198;4.009;53;3.855;66;4.291;59;4.308;29
860;5.137;153;5.229;169;4.031;40;4.469;41
5068;5.441;199;5.400;196;5.027;134;5.513;207
5121;4.903;128;4.463;110;5.362;188;5.207;146
3335;5.036;142;4.670;125;5.342;186;5.267;160
5103;4.882;123;4.463;110;5.262;173;5.306;169
3825;4.992;137;5.148;161;4.423;65;3.473;5
1066;4.604;99;4.180;90;5.185;155;4.928;106
1480;4.272;68;3.623;54;4.975;124;5.290;166
4185;4.615;100;4.248;95;4.813;100;5.261;157
5358;3.232;16;3.044;32;3.657;23;3.675;6
451;4.469;87;4.041;76;4.454;69;5.433;191
2627;3.156;15;2.606;18;3.721;25;4.534;48
728;3.390;21;2.446;15;4.272;56;5.267;160
152;4.828;119;4.691;129;5.155;148;4.352;30
3722;5.513;209;5.498;207;5.222;162;5.532;211
707;5.465;203;5.484;206;4.975;124;4.228;24
2771;3.635;32;3.243;39;4.007;39;4.676;71
1284;4.403;79;4.331;99;4.191;50;4.801;86
2008;4.131;59;3.714;59;4.191;50;5.261;157
943;4.615;100;4.416;106;3.596;20;5.532;211
5421;3.709;35;3.113;35;3.349;14;5.532;211
807;5.359;185;5.314;182;4.852;109;5.487;203
2011;4.383;77;3.950;72;4.743;93;5.132;135
2291;3.723;36;2.916;28;4.439;66;5.306;169
2231;5.158;156;5.066;153;4.518;74;5.383;181
3403;2.780;7;2.112;11;3.153;9;4.591;52
3098;4.403;79;3.786;64;5.232;164;4.993;121
3212;4.666;105;4.463;110;4.692;91;4.993;121
74;3.543;29;3.855;66;3.186;11;3.311;3
5406;5.563;217;5.560;216;5.531;215;5.207;146
3539;5.526;212;5.514;210;5.494;211;4.657;64
